kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Bunyi apa?,Buni apa?,Bahasa Indonesia,Deletion Error
Siap-siap belajar.,Sia-siap belajar.,Bahasa Indonesia,Deletion Error
Diskusikan gambar sampul di atas dengan menjawab pertanyaan-pertanyaan ini.,Diskusikan gambar sampul di atas dengan menawab pertanyaan-pertanyaan ini.,Bahasa Indonesia,Deletion Error
Apa yang kalian lihat pada gambar di atas?,Apa yang kalian lihat pada gambar d atas?,Bahasa Indonesia,Deletion Error
"Menurut kalian, apa isi ceritanya?","Menurut kalian, apa si ceritanya?",Bahasa Indonesia,Deletion Error
Simak guru membacakan cerita ini.,Simak guru membacakan ceria ini.,Bahasa Indonesia,Deletion Error
Itu bola boni.,Itu bola bon.,Bahasa Indonesia,Deletion Error
Bola boni biru.,Bola boni bir.,Bahasa Indonesia,Deletion Error
Aduh! bola jadi basah.,Aduh! bola jad basah.,Bahasa Indonesia,Deletion Error
"Wah, ada yang bermain dengan bola boni!","Wah, ada yang bermain dengan bola bon!",Bahasa Indonesia,Deletion Error
Di mana bola boni kini?,Di mana bola oni kini?,Bahasa Indonesia,Deletion Error
Apa warna bola boni?,Apa warna bol boni?,Bahasa Indonesia,Deletion Error
Di mana boni mengejar bolanya?,Di mana boni mngejar bolanya?,Bahasa Indonesia,Deletion Error
Di mana bola boni jatuh?,Di mana bola oni jatuh?,Bahasa Indonesia,Deletion Error
Siapa yang bermain dengan bola boni?,Siapa yang bermain dengn bola boni?,Bahasa Indonesia,Deletion Error
"Ceritakan kembali, mengapa boni kehilangan bolanya.","Ceritakan kembali, mengapa oni kehilangan bolanya.",Bahasa Indonesia,Deletion Error
Huruf apa ini?,Huruf apa ni?,Bahasa Indonesia,Deletion Error
Bagaimana bunyinya?,Bgaimana bunyinya?,Bahasa Indonesia,Deletion Error
Bacalah bersama teman-teman.,Bacalah bersama temn-teman.,Bahasa Indonesia,Deletion Error
Huruf kapital dan huruf kecil berbeda bentuknya.,Huruf kapital dan huruf kecil berbeda benuknya.,Bahasa Indonesia,Deletion Error
Amati bentuk huruf-huruf di atas.,Amati bentuk huruf-huruf i atas.,Bahasa Indonesia,Deletion Error
Lafalkan huruf ini.,Lafalkan huruf ni.,Bahasa Indonesia,Deletion Error
"Lalu, lafalkan huruf yang terdapat pada kata-kata berikut.","Lalu, lafalkan huruf yang terdapat pada kta-kata berikut.",Bahasa Indonesia,Deletion Error
Ini kartu nama boni.,Ini kartu nma boni.,Bahasa Indonesia,Deletion Error
Di belakangnya ada gambar bola boni.,Di belakangnya ada gmbar bola boni.,Bahasa Indonesia,Deletion Error
Buatlah kartu nama kalian.,Buatlah kartu nma kalian.,Bahasa Indonesia,Deletion Error
Dengarkan guru yang memberikan petunjuk membuatnya.,Dengarkan guru yang memberian petunjuk membuatnya.,Bahasa Indonesia,Deletion Error
Tulis nama kalian pada kartu.,Tulis nama kalian ada kartu.,Bahasa Indonesia,Deletion Error
"Lalu, gambar benda kesukaan kalian di baliknya.","Lalu, gambar benda kesukaan kalian di balknya.",Bahasa Indonesia,Deletion Error
"Dengan membuat kartu nama, kalian berlatih menulis nama sendiri.","Dengan membuat kartu nama, kalian berlatih menlis nama sendiri.",Bahasa Indonesia,Deletion Error
"Sekarang, perkenalkan diri kalian di depan kelas.","Sekarang, perkenalkan diri kalian di depan kels.",Bahasa Indonesia,Deletion Error
Guru akan membimbing kalian.,Guru akan memimbing kalian.,Bahasa Indonesia,Deletion Error
Tunjukkan kartu nama kalian di depan kelas.,Tunjukkan kartu nama kalian di depan kels.,Bahasa Indonesia,Deletion Error
Perkenalkan nama kalian.,Perkenalkan nama kalan.,Bahasa Indonesia,Deletion Error
Tunjukkan benda kesukaan kalian di kartu itu.,Tunjukkan benda kesukaan kalian di kartu tu.,Bahasa Indonesia,Deletion Error
Ceritakan benda itu. mengapa kalian menyukainya?,Ceritakan benda itu. mengpa kalian menyukainya?,Bahasa Indonesia,Deletion Error
Guru telah membuat kartu kata.,Guru telah membuat kart kata.,Bahasa Indonesia,Deletion Error
Amati gambar ini.,Amati gambar ni.,Bahasa Indonesia,Deletion Error
"Sekarang, diskusikan jawaban dari pertanyaan-pertanyaan berikut.","Sekarang, diskusikan jawaban ari pertanyaan-pertanyaan berikut.",Bahasa Indonesia,Deletion Error
Apa yang diceritakan pada gambar di atas?,Apa yang diceritakan pada gambar di ata?,Bahasa Indonesia,Deletion Error
Mengapa judul gambar itu pagi yang sibuk?,Mengapa judul gambar itu pagi yang sibk?,Bahasa Indonesia,Deletion Error
Ada berapa orang pada gambar itu?,Ada berapa orang ada gambar itu?,Bahasa Indonesia,Deletion Error
Ada berapa binatang pada gambar itu?,Ada berapa binatang ada gambar itu?,Bahasa Indonesia,Deletion Error
Bagaimana suasana pagi hari di rumah kalian?,Bagaimana suasana pagi hari di rumah kalan?,Bahasa Indonesia,Deletion Error
Ikuti petunjuk guru.,Ikuti petunjuk gru.,Bahasa Indonesia,Deletion Error
Dapatkah kalian menirukan bunyi binatang-binatang itu?,Dapatkah kalian menirukan buny binatang-binatang itu?,Bahasa Indonesia,Deletion Error
Tirukan juga cara mereka berjalan.,Tirukan juga cara merea berjalan.,Bahasa Indonesia,Deletion Error
"Lalu, hitung jumlah kaki setiap binatang itu.","Lalu, htung jumlah kaki setiap binatang itu.",Bahasa Indonesia,Deletion Error
Jawablah pertanyaan-pertanyaan yang dibacakan guru berikut ini.,Jawablah pertanyaan-pertanyaan yang dibacakan guru berikut ni.,Bahasa Indonesia,Deletion Error
Bunyi apa yang kalian dengar?,Bunyi apa yang klian dengar?,Bahasa Indonesia,Deletion Error
Pada siang hari?,Pada siang har?,Bahasa Indonesia,Deletion Error
Pada malam hari?,Pada malam har?,Bahasa Indonesia,Deletion Error
"Mana yang lebih kalian sukai, siang atau malam hari?","Mana yang lebih kalian sukai, siang ata malam hari?",Bahasa Indonesia,Deletion Error
Mengapa?,Mengpa?,Bahasa Indonesia,Deletion Error
Amati gambar-gambar ini.,Amati gambar-gambar ni.,Bahasa Indonesia,Deletion Error
Tunjuklah gambar yang menunjukkan suara keras!,Tunjuklah gambar yang meunjukkan suara keras!,Bahasa Indonesia,Deletion Error
Tunjuklah gambar yang menunjukkan suara pelan!,Tunjuklah gambar yang meunjukkan suara pelan!,Bahasa Indonesia,Deletion Error
"Simaklah, lalu ikuti guru membacanya.","Simaklah, lalu ikuti uru membacanya.",Bahasa Indonesia,Deletion Error
Aku melihat dengan mataku.,Aku melihat denan mataku.,Bahasa Indonesia,Deletion Error
Aku mendengar dengan telingaku.,Aku mendengar denan telingaku.,Bahasa Indonesia,Deletion Error
Aku mencium dengan hidungku.,Aku mencium denan hidungku.,Bahasa Indonesia,Deletion Error
Aku merasa dengan lidahku.,Aku merasa denan lidahku.,Bahasa Indonesia,Deletion Error
Aku meraba dengan tanganku.,Aku meraba denan tanganku.,Bahasa Indonesia,Deletion Error
Kalian akan berlatih menulis.,Kalian akan beratih menulis.,Bahasa Indonesia,Deletion Error
Peganglah pensil dengan benar.,Peganglah pensil denan benar.,Bahasa Indonesia,Deletion Error
"Saat menulis, duduk yang tegak.","Saat menulis, duduk ang tegak.",Bahasa Indonesia,Deletion Error
"Sekarang, tuliskan huruf awal nama binatang-binatang ini.","Sekarang, tuliskan huruf awal nama binatang-binatang ni.",Bahasa Indonesia,Deletion Error
Lihat dua gambar di bawah.,Lihat dua gambar i bawah.,Bahasa Indonesia,Deletion Error
Jawablah pertanyaan-pertanyaan ini.,Jawablah pertanyaan-pertanyaan ni.,Bahasa Indonesia,Deletion Error
Pasar mana yang terlihat sibuk?,Pasar mana yang terlhat sibuk?,Bahasa Indonesia,Deletion Error
Apa yang kalian lihat pada gambar pasar yang sibuk?,Apa yang kalian lihat pada gambar psar yang sibuk?,Bahasa Indonesia,Deletion Error
Apa bedanya pasar yang sibuk dan pasar yang tidak sibuk?,Apa bedanya psar yang sibuk dan pasar yang tidak sibuk?,Bahasa Indonesia,Deletion Error
"Ayo, membaca setiap hari.","Ayo, membaca setap hari.",Bahasa Indonesia,Deletion Error
Rano tidak bisa melihat.,Rano tidak bis melihat.,Bahasa Indonesia,Deletion Error
"Namun, ia bisa pergi sendiri ke rumah ali.","Namun, ia bisa pergi sendiri ke rumh ali.",Bahasa Indonesia,Deletion Error
Bagaimana caranya?,Bgaimana caranya?,Bahasa Indonesia,Deletion Error
"Mintalah ayah, ibu, atau kakak untuk membacakan ceritanya.","Mintalah ayah, ibu, atau kakak untuk memacakan ceritanya.",Bahasa Indonesia,Deletion Error
"Setelah mendengarkan ceritanya, isilah jurnal membaca yang tersedia.","Setelah mendengarkan ceritanya, isilah jurnal membaca yan tersedia.",Bahasa Indonesia,Deletion Error
"Mintalah ayah, ibu, atau kakak untuk mengisi judul, nama penulis, dan ilustrator buku ini.","Mintalah ayah, ibu, atau kakak untuk menisi judul, nama penulis, dan ilustrator buku ini.",Bahasa Indonesia,Deletion Error
"Kalau menjadi tokoh cerita, kalian ingin menjadi siapa?","Kalau menadi tokoh cerita, kalian ingin menjadi siapa?",Bahasa Indonesia,Deletion Error
Gambar diri kalian menjadi wuri atau rano.,Gambar diri kalian menjadi wuri atau ran.,Bahasa Indonesia,Deletion Error
Mengapa kalian memilih wuri?,Mengapa kalian memlih wuri?,Bahasa Indonesia,Deletion Error
"Ceritakan alasan kalian kepada guru, ayah, ibu, atau wali kalian.","Ceritakan alasan kalian kepada guru, ayah, bu, atau wali kalian.",Bahasa Indonesia,Deletion Error
Mengapa kalian memilih rano?,Mengapa kalian memlih rano?,Bahasa Indonesia,Deletion Error
Bisakah kalian membaca kata-kata di bawah ini?,Bisakah kalian membaca kata-kata di bawah ni?,Bahasa Indonesia,Deletion Error
"Ikuti guru membacanya, ya.","Ikuti guru memacanya, ya.",Bahasa Indonesia,Deletion Error
Hore! bab 1 sudah selesai.,Hore! bab 1 suda selesai.,Bahasa Indonesia,Deletion Error
Apa yang sudah kalian pelajari?,Apa yang sudah klian pelajari?,Bahasa Indonesia,Deletion Error
"Isi dengan tanda centang, ya.","Isi dengan tanda centng, ya.",Bahasa Indonesia,Deletion Error
Guru akan membantu.,Guru akan memantu.,Bahasa Indonesia,Deletion Error
Saya bisa menjawab pertanyaan guru tentang bunyi.,Saya bisa menjawab pertanyaan guru tentang buni.,Bahasa Indonesia,Deletion Error
Saya tahu dan bisa menyebutkan bunyi di sekitar.,Saya tahu dan bisa menyebutkan bunyi d sekitar.,Bahasa Indonesia,Deletion Error
Saya tahu dan bisa menyebutkan bunyi yang pelan dan keras.,Saya tahu dan bisa menyebutkan bunyi yan pelan dan keras.,Bahasa Indonesia,Deletion Error
"Saya bisa membaca ba, bi, bu, be, bo.","Saya bisa membaca ba, bi, bu, b, bo.",Bahasa Indonesia,Deletion Error
