kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus mamptu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.",IPA,Insertion Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban darit siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Insertion Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di atast dengan peragaan.,IPA,Insertion Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dan menyanyti bersama.,IPA,Insertion Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan permintaan daon memberi contoh.,IPA,Insertion Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guru menuntun siswa menuliskan nomor pilithan mereka ke buku tugas.,IPA,Insertion Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna, rasa, dan bau tanpta melihatnya, namun boleh meraba, mencium, dan mencicipi.",IPA,Insertion Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal-hal yang boleh dilakukan siswta untuk menebak benda.,IPA,Insertion Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya meraba, mencium, atoau mencicipi (makanan).",IPA,Insertion Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guru mengajukano berbagai pertanyaan.,IPA,Insertion Error
Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan.,Akhirnya guru membantu siswa menyimpulkan bahwa setitap bagian tubuh memiliki kegunaan.,IPA,Insertion Error
Guru memberikan contoh.,Guru memberikan conttoh.,IPA,Insertion Error
Selanjutnya beberapa siswa diminta untuk melakukan sendiri di depan kelas.,Selanjutnya beberapa siswa diminta untuk melakukan sendtiri di depan kelas.,IPA,Insertion Error
Guru membacakan setiap perintah soal beserta soal yang ada.,Guru membacakan setiap perintah soalt beserta soal yang ada.,IPA,Insertion Error
Lalu siswa diminta menulis jawabannya di buku tugas masing-masing.,Lalu siswa diminta menulis jawabannya di bukut tugas masing-masing.,IPA,Insertion Error
Orang tua membantu siswa memotong semua kuku jari tangan dan kuku jari kaki.,Orang tua membantu siswa memotong semua kukut jari tangan dan kuku jari kaki.,IPA,Insertion Error
Lalu meminta mereka mencucinya dengan sabun hingga bersih.,Lalu meminta mereka mencucinya dengan sabun hingtga bersih.,IPA,Insertion Error
Setelah mempelajari bab ini siswa harus mampu mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,Setelah mempelajari bab ini siswa harus mamptu mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,IPA,Insertion Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.","Guru memberikan contoh, lalu menunjuk siswa satut per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.",IPA,Insertion Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.","Guru memberikan contoh, lalu menunjuk siswa satut per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.",IPA,Insertion Error
Mula-mula guru memberi contoh menyanyikan lagu tersebut.,Mula-mula guru memberi contoh menyanyikan lagu tersebutt.,IPA,Insertion Error
"Selanjutnya, guru mengajak siswa untuk menyanyikannya bersama-sama.","Selanjutnya, guru mengajak siswa untuk menyanyikannya bersama-samat.",IPA,Insertion Error
Guru memberikan satu contoh.,Guru memberikan satut contoh.,IPA,Insertion Error
"Lalu, satu per satu siswa diminta menyebutkan nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).","Lalu, satu per satu siswa diminta menyebutkatn nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).",IPA,Insertion Error
"Orang tua membantu siswa menemukan foto mereka, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.","Orang tua membantu siswa menemukan foto meretka, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.",IPA,Insertion Error
Guru menunjuk siswa satu per satu dan menanyakan keadaan lingkungan rumah mereka masing-masing.,Guru menunjuk siswa satu per satu tdan menanyakan keadaan lingkungan rumah mereka masing-masing.,IPA,Insertion Error
Guru membagi siswa dalam beberapa kelompok.,Guru membagi siswa daolam beberapa kelompok.,IPA,Insertion Error
Setiap kelompok diminta mengamati kelas.,Setiap kelompok diminta mengamaoti kelas.,IPA,Insertion Error
"Lalu setiap kelompok diminta memilih cara merapikan dan membersihkan kelas (menyapu, mengelap, dan lain-lain).","Lalu setiap kelompok diminta memilih cara merapiktan dan membersihkan kelas (menyapu, mengelap, dan lain-lain).",IPA,Insertion Error
Guru memberi pengarahan pada siswa cara menjiplak dan mewarnai gambar di atas.,Guru memberi pengarahan pada siswa cara menjipltak dan mewarnai gambar di atas.,IPA,Insertion Error
Guru memberi contoh menceritakan tanaman atau hewan piaraan yang dimilikinya dengan urutan seperti diminta.,Guru memberi contoh menceritakan tanaman atau hewatn piaraan yang dimilikinya dengan urutan seperti diminta.,IPA,Insertion Error
Lalu guru menunjuk siswa satu per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,Lalu guru menunjuk siswa satut per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,IPA,Insertion Error
