kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya bend berharga.,IPS,Deletion Error
Bisa juga berupa benda-benda.,Bisa juga berpa benda-benda.,IPS,Deletion Error
Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga an dirawat.,IPS,Deletion Error
Benda berharga juga harus dipelihara.,Benda berharga juga haru dipelihara.,IPS,Deletion Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga tidk mudah rusak.",IPS,Deletion Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya mmelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",IPS,Deletion Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh bena koleksi.,IPS,Deletion Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokmen penting dalam map plastik.,IPS,Deletion Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat tnah, ijazah, dan surat dari eyang.",IPS,Deletion Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel perngkonya.,IPS,Deletion Error
Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foo-foto dalam album.,IPS,Deletion Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah memersihkan dan membereskan piala di lemari.,IPS,Deletion Error
Ayah membersihkan piala itu.,Ayah membersihkan piaa itu.,IPS,Deletion Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan bena berharga harus dirawat dengan baik.",IPS,Deletion Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat dignakan kembali.,IPS,Deletion Error
Apakah kamu mempunyai akta kelahiran?,Apakah kamu mempunyai kta kelahiran?,IPS,Deletion Error
Semua orang harus memiliki akta kelahiran.,Semua orang harus memiiki akta kelahiran.,IPS,Deletion Error
Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak bole hilang.,IPS,Deletion Error
