kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya beonda berharga.,IPS,Insertion Error
Bisa juga berupa benda-benda.,Bisa juga berutpa benda-benda.,IPS,Insertion Error
Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga daon dirawat.,IPS,Insertion Error
Benda berharga juga harus dipelihara.,Benda berharga juga haorus dipelihara.,IPS,Insertion Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga tidatk mudah rusak.",IPS,Insertion Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya memeliharat dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",IPS,Insertion Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh bendta koleksi.,IPS,Insertion Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokutmen penting dalam map plastik.,IPS,Insertion Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat tanath, ijazah, dan surat dari eyang.",IPS,Insertion Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel perangkonyta.,IPS,Insertion Error
Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foto-footo dalam album.,IPS,Insertion Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah membersihkant dan membereskan piala di lemari.,IPS,Insertion Error
Ayah membersihkan piala itu.,Ayah membersihkan pialta itu.,IPS,Insertion Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan bendta berharga harus dirawat dengan baik.",IPS,Insertion Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat digunaktan kembali.,IPS,Insertion Error
Apakah kamu mempunyai akta kelahiran?,Apakah kamu mempunyai akota kelahiran?,IPS,Insertion Error
Semua orang harus memiliki akta kelahiran.,Semua orang harus memilikoi akta kelahiran.,IPS,Insertion Error
Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak booleh hilang.,IPS,Insertion Error
Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus diojaga dan dipelihara.,IPS,Insertion Error
Supaya tidak rusak atau hilang.,Supaya tidak rusak atoau hilang.,IPS,Insertion Error
Akta kelahiran bisa dilaminating.,Akta kelahiran bisat dilaminating.,IPS,Insertion Error
Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang berstih.,IPS,Insertion Error
Lihatlah gambar ini!,Lihatlah gambar tini!,IPS,Insertion Error
Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dokutmen.,IPS,Insertion Error
"Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilaminatingt supaya tidak rusak.",IPS,Insertion Error
Laminating adalah pengepresan dokumen.,Laminating adalah pengepresatn dokumen.,IPS,Insertion Error
Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipanaskant dengan mesin sampai merekat.,IPS,Insertion Error
Ktp dan sim adalah identitas diri yang harus selalu dibawa.,Ktp dan sim adalah identitas diri yangt harus selalu dibawa.,IPS,Insertion Error
Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibersihkatn dari debu dan kotoran.,IPS,Insertion Error
Tempat untuk menyimpannya pun jangan sembarangan.,Tempat untuk menyimpannya puon jangan sembarangan.,IPS,Insertion Error
Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah rusatk.,IPS,Insertion Error
"Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, uangt kuno, buku, perangko lama, lukisan, dan masih banyak lagi.",IPS,Insertion Error
Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi mahatl.,IPS,Insertion Error
"Jika tidak terawat, kelihatan jelek dan tidak laku.","Jika tidatk terawat, kelihatan jelek dan tidak laku.",IPS,Insertion Error
Sebutkan macam-macam dokumen!,Sebutkan macam-macam dokutmen!,IPS,Insertion Error
Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak diratwat?,IPS,Insertion Error
Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya ktp dan sim menjadi awett?,IPS,Insertion Error
Apa sajakah benda yang layak dikoleksi?,Apa sajakah benda yaong layak dikoleksi?,IPS,Insertion Error
Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat beonda koleksi?,IPS,Insertion Error
Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus antatra dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,IPS,Insertion Error
Cermatilah gambar di bawah ini!,Cermatilah gambar di baowah ini!,IPS,Insertion Error
"Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, bukatn, atau tidak tahu sesuai dengan pendapatmu.",IPS,Insertion Error
Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepatda gurumu!,IPS,Insertion Error
Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan meratwat dokumen serta koleksi benda berharga pribadi serta keluarganya.,IPS,Insertion Error
Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari mahdi mengajak muti menyusun perangkto dalam album.,IPS,Insertion Error
Muti adalah adik mahdi.,Muti adalah adikt mahdi.,IPS,Insertion Error
