kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya benda berharga',IPS,Punctuation Error
Bisa juga berupa benda-benda.,Bisa juga berupa benda?benda.,IPS,Punctuation Error
Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga dan dirawat',IPS,Punctuation Error
Benda berharga juga harus dipelihara.,Benda berharga juga harus dipelihara',IPS,Punctuation Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.",Jika dirawat@ dokumen dan benda berharga tidak mudah rusak.,IPS,Punctuation Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga@ sehingga anak bisa menghargainya.,IPS,Punctuation Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh benda koleksi',IPS,Punctuation Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik',IPS,Punctuation Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran} kartu keluarga, surat tanah, ijazah, dan surat dari eyang.",IPS,Punctuation Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel perangkonya',IPS,Punctuation Error
Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foto?foto dalam album.,IPS,Punctuation Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari',IPS,Punctuation Error
Ayah membersihkan piala itu.,Ayah membersihkan piala itu',IPS,Punctuation Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.",Kata ayah dan ibu@ dokumen dan benda berharga harus dirawat dengan baik.,IPS,Punctuation Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat digunakan kembali',IPS,Punctuation Error
Apakah kamu mempunyai akta kelahiran?,Apakah kamu mempunyai akta kelahiran',IPS,Punctuation Error
Semua orang harus memiliki akta kelahiran.,Semua orang harus memiliki akta kelahiran',IPS,Punctuation Error
Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak boleh hilang',IPS,Punctuation Error
Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus dijaga dan dipelihara',IPS,Punctuation Error
Supaya tidak rusak atau hilang.,Supaya tidak rusak atau hilang',IPS,Punctuation Error
Akta kelahiran bisa dilaminating.,Akta kelahiran bisa dilaminating',IPS,Punctuation Error
Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang bersih',IPS,Punctuation Error
Lihatlah gambar ini!,Lihatlah gambar ini(,IPS,Punctuation Error
Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dokumen',IPS,Punctuation Error
"Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak@",IPS,Punctuation Error
Laminating adalah pengepresan dokumen.,Laminating adalah pengepresan dokumen',IPS,Punctuation Error
Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat',IPS,Punctuation Error
Ktp dan sim adalah identitas diri yang harus selalu dibawa.,Ktp dan sim adalah identitas diri yang harus selalu dibawa',IPS,Punctuation Error
Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran',IPS,Punctuation Error
Tempat untuk menyimpannya pun jangan sembarangan.,Tempat untuk menyimpannya pun jangan sembarangan',IPS,Punctuation Error
Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah rusak',IPS,Punctuation Error
"Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi@",IPS,Punctuation Error
Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi mahal',IPS,Punctuation Error
"Jika tidak terawat, kelihatan jelek dan tidak laku.",Jika tidak terawat@ kelihatan jelek dan tidak laku.,IPS,Punctuation Error
Sebutkan macam-macam dokumen!,Sebutkan macam?macam dokumen!,IPS,Punctuation Error
Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak dirawat',IPS,Punctuation Error
Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya ktp dan sim menjadi awet',IPS,Punctuation Error
Apa sajakah benda yang layak dikoleksi?,Apa sajakah benda yang layak dikoleksi',IPS,Punctuation Error
Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat benda koleksi',IPS,Punctuation Error
Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan(,IPS,Punctuation Error
Cermatilah gambar di bawah ini!,Cermatilah gambar di bawah ini(,IPS,Punctuation Error
"Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu@",IPS,Punctuation Error
Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepada gurumu(,IPS,Punctuation Error
Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya',IPS,Punctuation Error
Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari mahdi mengajak muti menyusun perangko dalam album',IPS,Punctuation Error
Muti adalah adik mahdi.,Muti adalah adik mahdi',IPS,Punctuation Error
Mahdi sangat sayang kepada muti.,Mahdi sangat sayang kepada muti',IPS,Punctuation Error
"Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.",Bersihkan dokumen dan benda koleksi dari kotoran@ terutama debu.,IPS,Punctuation Error
Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di tempat yang kering',IPS,Punctuation Error
Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan dulu tempat itu',IPS,Punctuation Error
Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada binatang pengganggu',IPS,Punctuation Error
Disimpan dengan rapi dan menarik.,Disimpan dengan rapi dan menarik',IPS,Punctuation Error
Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekali?sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,IPS,Punctuation Error
Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan?pertanyaan di bawah ini!,IPS,Punctuation Error
Apa yang dilakukan mahdi dan muti?,Apa yang dilakukan mahdi dan muti',IPS,Punctuation Error
Apa akibatnya jika perangko tidak disusun?,Apa akibatnya jika perangko tidak disusun',IPS,Punctuation Error
Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda koleksi',IPS,Punctuation Error
Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan benda koleksi itu',IPS,Punctuation Error
Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali>sekali?,IPS,Punctuation Error
Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi(,IPS,Punctuation Error
Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana cara kamu merawatnya(,IPS,Punctuation Error
Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gambar',IPS,Punctuation Error
Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut',IPS,Punctuation Error
Hias sesukamu dengan menarik.,Hias sesukamu dengan menarik',IPS,Punctuation Error
Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik',IPS,Punctuation Error
"Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto@  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.",IPS,Punctuation Error
Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan sim biasanya dilaminating supaya awet',IPS,Punctuation Error
Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya',IPS,Punctuation Error
Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat',IPS,Punctuation Error
Pilihlah jawaban yang benar!,Pilihlah jawaban yang benar(,IPS,Punctuation Error
Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik?titik di bawah ini dengan jawaban yang benar!,IPS,Punctuation Error
Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawablah pertanyaan berikut ini dengan singkat dan jelas(,IPS,Punctuation Error
Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan benda koleksi keluarga',IPS,Punctuation Error
Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi',IPS,Punctuation Error
Mengapa dokumen dan benda koleksi harus dipelihara?,Mengapa dokumen dan benda koleksi harus dipelihara',IPS,Punctuation Error
Bagaimana cara memelihara koleksi piala?,Bagaimana cara memelihara koleksi piala',IPS,Punctuation Error
Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda koleksi itu',IPS,Punctuation Error
Kamu pasti menyukai cerita.,Kamu pasti menyukai cerita',IPS,Punctuation Error
Kamu juga suka bercerita.,Kamu juga suka bercerita',IPS,Punctuation Error
Dokumen keluarga sebagai sumber cerita.,Dokumen keluarga sebagai sumber cerita',IPS,Punctuation Error
Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita berdasar dokumen keluarga',IPS,Punctuation Error
Suatu hari roni melihat album foto di lemari.,Suatu hari roni melihat album foto di lemari',IPS,Punctuation Error
Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu berisi foto?foto dirinya.,IPS,Punctuation Error
Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang digendong ibu',IPS,Punctuation Error
Waktu itu roni baru dilahirkan.,Waktu itu roni baru dilahirkan',IPS,Punctuation Error
"Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil@",IPS,Punctuation Error
"Kalau melihat foto, kita bisa mengenang masa lalu.",Kalau melihat foto@ kita bisa mengenang masa lalu.,IPS,Punctuation Error
Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat dirimu ketika baru berumur satu tahun',IPS,Punctuation Error
Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa',IPS,Punctuation Error
Apakah kamu pernah difoto?,Apakah kamu pernah difoto',IPS,Punctuation Error
Di mana kamu difoto?,Di mana kamu difoto',IPS,Punctuation Error
Dengan siapa kamu difoto?,Dengan siapa kamu difoto',IPS,Punctuation Error
Foto harus disimpan dengan baik.,Foto harus disimpan dengan baik',IPS,Punctuation Error
Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui arti dokumen dan macam?macam dokumen.,IPS,Punctuation Error
Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan macam?macam dokumen.,IPS,Punctuation Error
Ini adalah fotoku.,Ini adalah fotoku',IPS,Punctuation Error
Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang lalu',IPS,Punctuation Error
Foto ini juga ditempel diraporku.,Foto ini juga ditempel diraporku',IPS,Punctuation Error
Kalau ini foto keluargaku.,Kalau ini foto keluargaku',IPS,Punctuation Error
"Selain ada aku, ada ayah dan ibuku.",Selain ada aku@ ada ayah dan ibuku.,IPS,Punctuation Error
Kakak dan adikku juga ada.,Kakak dan adikku juga ada',IPS,Punctuation Error
Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan yang mana diriku',IPS,Punctuation Error
Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh ayah dan ibu',IPS,Punctuation Error
Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan jadi kenangan',IPS,Punctuation Error
Walaupun kamu nanti sudah besar.,Walaupun kamu nanti sudah besar',IPS,Punctuation Error
Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu masih bisa melihat dirimu ketika masih bayi',IPS,Punctuation Error
"Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu} misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.",IPS,Punctuation Error
Ceritakanlah peristiwa yang ada di foto itu!,Ceritakanlah peristiwa yang ada di foto itu(,IPS,Punctuation Error
Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta pula kepada orang tuamu fotomu pada saat sekarang',IPS,Punctuation Error
Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan',IPS,Punctuation Error
Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami kesulitan',IPS,Punctuation Error
Jangan lupa beri nama.,Jangan lupa beri nama',IPS,Punctuation Error
Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah fotomu dan foto kawan?kawan sekelasmu.,IPS,Punctuation Error
Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak?anak menempelkan foto.,IPS,Punctuation Error
Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru atau melibatkan anak?anak untuk menjadikannya lebih semarak dan menarik.,IPS,Punctuation Error
"Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kreativitas ini, misalnya ~pojok diriku"" atau ""inilah aku"".",IPS,Punctuation Error
"Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan@",IPS,Punctuation Error
"Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta kelahiran,"" kata raihan[",IPS,Punctuation Error
"Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.",Ketika anak dilahirkan@ dokter atau bidan membuat surat kelahiran.,IPS,Punctuation Error
"Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah@",IPS,Punctuation Error
Kemudian ayah diberi surat keterangan.,Kemudian ayah diberi surat keterangan',IPS,Punctuation Error
Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran',IPS,Punctuation Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat tanda kenal lahir',IPS,Punctuation Error
Semua orang memiliki akta kelahiran.,Semua orang memiliki akta kelahiran',IPS,Punctuation Error
Akta kelahiran sangat penting.,Akta kelahiran sangat penting',IPS,Punctuation Error
Akta sangat banyak gunanya.,Akta sangat banyak gunanya',IPS,Punctuation Error
Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melanjutkan sekolah',IPS,Punctuation Error
Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna untuk mencari pekerjaan',IPS,Punctuation Error
"Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.",Kalau kamu akan pergi ke luar negeri@ kamu memerlukan akta kelahiran.,IPS,Punctuation Error
Perhatikanlah akta kelahiran di bawah ini!,Perhatikanlah akta kelahiran di bawah ini(,IPS,Punctuation Error
"Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah ktp@ kartu keluarga, ijazah, dan sim.",IPS,Punctuation Error
Ktp singkatan dari kartu tanda penduduk.,Ktp singkatan dari kartu tanda penduduk',IPS,Punctuation Error
Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp',IPS,Punctuation Error
Sim singkatan dari surat ijin mengemudi.,Sim singkatan dari surat ijin mengemudi',IPS,Punctuation Error
Sim harus dimiliki oleh semua pengendara motor dan mobil.,Sim harus dimiliki oleh semua pengendara motor dan mobil',IPS,Punctuation Error
Kartu keluarga harus dimiliki oleh setiap keluarga.,Kartu keluarga harus dimiliki oleh setiap keluarga',IPS,Punctuation Error
Untuk membuat akta kelahiran dibutuhkan kartu keluarga.,Untuk membuat akta kelahiran dibutuhkan kartu keluarga',IPS,Punctuation Error
Apa manfaat foto?,Apa manfaat foto',IPS,Punctuation Error
Bagaimana cara menyimpan foto yang baik?,Bagaimana cara menyimpan foto yang baik',IPS,Punctuation Error
Siapakah yang membuat akta kelahiran?,Siapakah yang membuat akta kelahiran',IPS,Punctuation Error
Mengapa akta kelahiran sangat penting?,Mengapa akta kelahiran sangat penting',IPS,Punctuation Error
Benda apa saja yang termasuk dokumen?,Benda apa saja yang termasuk dokumen',IPS,Punctuation Error
Mintalah foto kopi akta kelahiranmu pada orang tuamu.,Mintalah foto kopi akta kelahiranmu pada orang tuamu',IPS,Punctuation Error
Bawalah ke sekolah.,Bawalah ke sekolah',IPS,Punctuation Error
"Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini.","Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini@",IPS,Punctuation Error
Hasilnya kumpulkan kepada gurumu.,Hasilnya kumpulkan kepada gurumu',IPS,Punctuation Error
Siapakah nama lengkapmu?,Siapakah nama lengkapmu',IPS,Punctuation Error
Di manakah tempat kelahiranmu?,Di manakah tempat kelahiranmu',IPS,Punctuation Error
Kapankah tanggal kelahiranmu?,Kapankah tanggal kelahiranmu',IPS,Punctuation Error
Siapakah nama ayahmu?,Siapakah nama ayahmu',IPS,Punctuation Error
Siapakah nama ibumu?,Siapakah nama ibumu',IPS,Punctuation Error
Tanggal berapakah akta kelahiran itu dibuat?,Tanggal berapakah akta kelahiran itu dibuat',IPS,Punctuation Error
Di manakah akta itu dibuat?,Di manakah akta itu dibuat',IPS,Punctuation Error
Sekarang kita akan membuat map dokumen.,Sekarang kita akan membuat map dokumen',IPS,Punctuation Error
Tempelkanlah foto dirimu di bagian paling depan map.,Tempelkanlah foto dirimu di bagian paling depan map',IPS,Punctuation Error
Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map.,Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map?,IPS,Punctuation Error
Jangan lupa sisakan bagian untuk menuliskan namamu sendiri.,Jangan lupa sisakan bagian untuk menuliskan namamu sendiri',IPS,Punctuation Error
"Jika mau, buatlah judul untuk map tersebut sesukamu.",Jika mau@ buatlah judul untuk map tersebut sesukamu.,IPS,Punctuation Error
Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri.,Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri',IPS,Punctuation Error
Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak.,Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak',IPS,Punctuation Error
Deni tidak bosan memperhatikan fotonya.,Deni tidak bosan memperhatikan fotonya',IPS,Punctuation Error
Foto itu terpasang di dinding dalam ruang keluarga.,Foto itu terpasang di dinding dalam ruang keluarga',IPS,Punctuation Error
Di foto itu ia sedang memegang piala didampingi ibunya.,Di foto itu ia sedang memegang piala didampingi ibunya',IPS,Punctuation Error
Deni merasa sangat bangga.,Deni merasa sangat bangga',IPS,Punctuation Error
Saat itu deni mengikuti lomba sempoa.,Saat itu deni mengikuti lomba sempoa',IPS,Punctuation Error
Deni ditunjuk mewakili sekolahnya.,Deni ditunjuk mewakili sekolahnya',IPS,Punctuation Error
Deni sangat gugup dan takut kalah.,Deni sangat gugup dan takut kalah',IPS,Punctuation Error
