kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya beda berharga.,IPS,Real word Error
Bisa juga berupa benda-benda.,Bisa juta berupa benda-benda.,IPS,Real word Error
Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga dana dirawat.,IPS,Real word Error
Benda berharga juga harus dipelihara.,Benda berharga juta harus dipelihara.,IPS,Real word Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan beda berharga tidak mudah rusak.",IPS,Real word Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak suntuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",IPS,Real word Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Gurun juga mengenalkan dan menunjukkan contoh benda koleksi.,IPS,Real word Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokumen pening dalam map plastik.,IPS,Real word Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada kata kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.",IPS,Real word Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat situ masih tertempel perangkonya.,IPS,Real word Error
Ibu juga menyusun foto-foto dalam album.,Ibu juta menyusun foto-foto dalam album.,IPS,Real word Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat payah membersihkan dan membereskan piala di lemari.,IPS,Real word Error
Ayah membersihkan piala itu.,Payah membersihkan piala itu.,IPS,Real word Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan beda berharga harus dirawat dengan baik.",IPS,Real word Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusa dan dapat digunakan kembali.,IPS,Real word Error
