kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya betda berharga.,IPS,Subtitution Error
Bisa juga berupa benda-benda.,Bisa juga beruza benda-benda.,IPS,Subtitution Error
Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga dar dirawat.,IPS,Subtitution Error
Benda berharga juga harus dipelihara.,Benda berharga juga haqus dipelihara.,IPS,Subtitution Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga tiday mudah rusak.",IPS,Subtitution Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya memelihvra dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",IPS,Subtitution Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh bendy koleksi.,IPS,Subtitution Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dovumen penting dalam map plastik.,IPS,Subtitution Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat tanax, ijazah, dan surat dari eyang.",IPS,Subtitution Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel perangkonyw.,IPS,Subtitution Error
Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foto-foqo dalam album.,IPS,Subtitution Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah membersihkgn dan membereskan piala di lemari.,IPS,Subtitution Error
Ayah membersihkan piala itu.,Ayah membersihkan pialx itu.,IPS,Subtitution Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan bendy berharga harus dirawat dengan baik.",IPS,Subtitution Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat digunakvn kembali.,IPS,Subtitution Error
Apakah kamu mempunyai akta kelahiran?,Apakah kamu mempunyai akqa kelahiran?,IPS,Subtitution Error
Semua orang harus memiliki akta kelahiran.,Semua orang harus metiliki akta kelahiran.,IPS,Subtitution Error
Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak boteh hilang.,IPS,Subtitution Error
Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus ditaga dan dipelihara.,IPS,Subtitution Error
Supaya tidak rusak atau hilang.,Supaya tidak rusak atpu hilang.,IPS,Subtitution Error
Akta kelahiran bisa dilaminating.,Akta kelahiran xisa dilaminating.,IPS,Subtitution Error
Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang berszh.,IPS,Subtitution Error
Lihatlah gambar ini!,Lihatlah gambar vni!,IPS,Subtitution Error
