kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Tiap orang punya benda berharga.,Tiap orang punya beand berharga.,IPS,Transposition Error
Bisa juga berupa benda-benda.,Bisa juga berpua benda-benda.,IPS,Transposition Error
Dokumen harus dijaga dan dirawat.,Edokumn harus dijaga dan dirawat.,IPS,Transposition Error
Benda berharga juga harus dipelihara.,Benda berharga juga hasru dipelihara.,IPS,Transposition Error
"Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga atidk mudah rusak.",IPS,Transposition Error
"Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya mmelihaera dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.",IPS,Transposition Error
Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh dbena koleksi.,IPS,Transposition Error
Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokmuen penting dalam map plastik.,IPS,Transposition Error
"Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat atnah, ijazah, dan surat dari eyang.",IPS,Transposition Error
Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel perngkoanya.,IPS,Transposition Error
Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foo-tfoto dalam album.,IPS,Transposition Error
Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah memersihkabn dan membereskan piala di lemari.,IPS,Transposition Error
Ayah membersihkan piala itu.,Ayah membersihkan lpiaa itu.,IPS,Transposition Error
"Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan dbena berharga harus dirawat dengan baik.",IPS,Transposition Error
Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat dignuakan kembali.,IPS,Transposition Error
Apakah kamu mempunyai akta kelahiran?,Apakah kamu mempunyai ktaa kelahiran?,IPS,Transposition Error
Semua orang harus memiliki akta kelahiran.,Semua orang harus memiikli akta kelahiran.,IPS,Transposition Error
Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak bohle hilang.,IPS,Transposition Error
Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus digjaa dan dipelihara.,IPS,Transposition Error
Supaya tidak rusak atau hilang.,Supaya tidak rusak taau hilang.,IPS,Transposition Error
Akta kelahiran bisa dilaminating.,Akta kelahiran abis dilaminating.,IPS,Transposition Error
Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang berish.,IPS,Transposition Error
Lihatlah gambar ini!,Liatlhah gambar ini!,IPS,Transposition Error
Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dokmuen.,IPS,Transposition Error
"Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilminatinag supaya tidak rusak.",IPS,Transposition Error
Laminating adalah pengepresan dokumen.,Laminating adalah penepregsan dokumen.,IPS,Transposition Error
Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipnaskaan dengan mesin sampai merekat.,IPS,Transposition Error
Ktp dan sim adalah identitas diri yang harus selalu dibawa.,Ktp dan sim adalah identitas diri gyan harus selalu dibawa.,IPS,Transposition Error
Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibrsihekan dari debu dan kotoran.,IPS,Transposition Error
Tempat untuk menyimpannya pun jangan sembarangan.,Ttempa untuk menyimpannya pun jangan sembarangan.,IPS,Transposition Error
Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah arusk.,IPS,Transposition Error
"Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, guan kuno, buku, perangko lama, lukisan, dan masih banyak lagi.",IPS,Transposition Error
Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi amhal.,IPS,Transposition Error
"Jika tidak terawat, kelihatan jelek dan tidak laku.","Jika atidk terawat, kelihatan jelek dan tidak laku.",IPS,Transposition Error
Sebutkan macam-macam dokumen!,Sebutkan macam-macam dokmuen!,IPS,Transposition Error
Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak dirwaat?,IPS,Transposition Error
Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya ktp dan sim menjadi tawe?,IPS,Transposition Error
Apa sajakah benda yang layak dikoleksi?,Apa sajakah benda anyg layak dikoleksi?,IPS,Transposition Error
Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat beand koleksi?,IPS,Transposition Error
Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus ntaraa dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,IPS,Transposition Error
Cermatilah gambar di bawah ini!,Cermatilah gambar di bahwa ini!,IPS,Transposition Error
"Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, abukn, atau tidak tahu sesuai dengan pendapatmu.",IPS,Transposition Error
Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepdaa gurumu!,IPS,Transposition Error
